,CHECKINGSTATUS,LOANDURATION,CREDITHISTORY,LOANPURPOSE,LOANAMOUNT,EXISTINGSAVINGS,EMPLOYMENTDURATION,INSTALLMENTPERCENT,SEX,OTHERSONLOAN,CURRENTRESIDENCEDURATION,OWNSPROPERTY,AGE,INSTALLMENTPLANS,HOUSING,EXISTINGCREDITSCOUNT,JOB,DEPENDENTS,TELEPHONE,FOREIGNWORKER,RISK
0,0_to_200,4,all_credits_paid_back,appliances,250,less_100,1_to_4,2,female,none,1,savings_insurance,54,none,own,1,skilled,1,none,yes,No Risk
1,0_to_200,4,all_credits_paid_back,appliances,919,100_to_500,1_to_4,3,female,none,1,real_estate,24,none,own,1,skilled,2,yes,yes,No Risk
2,0_to_200,4,all_credits_paid_back,car_new,250,100_to_500,1_to_4,1,female,none,2,real_estate,32,stores,rent,1,skilled,1,none,yes,No Risk
3,0_to_200,4,all_credits_paid_back,car_new,250,100_to_500,1_to_4,2,female,none,2,savings_insurance,28,none,own,1,skilled,1,none,yes,No Risk
4,0_to_200,4,all_credits_paid_back,car_new,250,100_to_500,less_1,2,female,none,3,real_estate,26,bank,rent,1,unskilled,1,none,yes,No Risk
5,0_to_200,4,all_credits_paid_back,car_new,250,500_to_1000,less_1,1,male,none,1,real_estate,30,none,rent,1,skilled,1,none,yes,No Risk
6,0_to_200,4,all_credits_paid_back,car_new,250,500_to_1000,unemployed,1,male,none,1,real_estate,24,none,rent,1,skilled,1,none,yes,No Risk
7,0_to_200,4,all_credits_paid_back,car_new,250,less_100,1_to_4,1,female,none,2,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
8,0_to_200,4,all_credits_paid_back,car_new,250,less_100,1_to_4,1,female,none,2,real_estate,27,none,own,1,skilled,1,none,yes,No Risk
9,0_to_200,4,all_credits_paid_back,car_new,250,less_100,1_to_4,2,female,none,1,real_estate,26,none,own,1,skilled,1,none,yes,No Risk
10,0_to_200,4,all_credits_paid_back,car_new,250,less_100,1_to_4,2,female,none,2,real_estate,28,none,own,1,skilled,1,none,yes,No Risk
11,0_to_200,4,all_credits_paid_back,car_new,250,less_100,1_to_4,2,female,none,2,real_estate,29,none,own,1,skilled,1,yes,yes,No Risk
12,0_to_200,4,all_credits_paid_back,car_new,250,less_100,1_to_4,2,male,none,1,real_estate,25,none,own,1,skilled,1,none,yes,No Risk
13,0_to_200,4,all_credits_paid_back,car_new,250,less_100,less_1,1,female,none,3,savings_insurance,19,none,own,1,skilled,1,none,yes,No Risk
14,0_to_200,4,all_credits_paid_back,car_new,250,less_100,less_1,1,male,none,1,savings_insurance,36,none,own,1,skilled,1,none,yes,No Risk
15,0_to_200,4,all_credits_paid_back,car_new,250,less_100,less_1,1,male,none,2,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
16,0_to_200,4,all_credits_paid_back,car_new,250,less_100,less_1,2,female,none,1,real_estate,32,none,own,1,skilled,1,none,yes,No Risk
17,0_to_200,4,all_credits_paid_back,car_new,250,less_100,less_1,2,female,none,3,real_estate,19,none,own,1,skilled,1,none,yes,No Risk
18,0_to_200,4,all_credits_paid_back,car_new,250,less_100,less_1,2,female,none,3,real_estate,19,none,rent,1,management_self-employed,1,none,yes,No Risk
19,0_to_200,4,all_credits_paid_back,car_new,250,less_100,less_1,2,male,none,2,savings_insurance,19,none,rent,1,skilled,1,none,yes,No Risk
20,0_to_200,4,all_credits_paid_back,car_new,250,less_100,unemployed,1,female,none,1,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
21,0_to_200,4,all_credits_paid_back,car_new,250,less_100,unemployed,1,female,none,3,real_estate,27,none,rent,1,skilled,1,none,yes,No Risk
22,0_to_200,4,all_credits_paid_back,car_new,250,less_100,unemployed,1,male,co-applicant,3,real_estate,35,bank,rent,1,unemployed,1,none,yes,No Risk
23,0_to_200,4,all_credits_paid_back,car_new,250,less_100,unemployed,2,female,none,3,savings_insurance,24,none,own,1,management_self-employed,1,none,yes,No Risk
24,0_to_200,4,all_credits_paid_back,car_new,250,less_100,unemployed,2,male,none,2,savings_insurance,24,none,rent,1,skilled,1,none,yes,No Risk
25,0_to_200,4,all_credits_paid_back,car_new,332,less_100,1_to_4,2,male,none,3,real_estate,19,none,rent,1,management_self-employed,1,none,yes,No Risk
26,0_to_200,4,all_credits_paid_back,car_new,337,less_100,unemployed,1,female,none,1,savings_insurance,26,none,own,1,skilled,1,yes,yes,No Risk
27,0_to_200,4,all_credits_paid_back,car_new,400,less_100,less_1,1,male,none,2,savings_insurance,20,stores,own,1,skilled,1,none,yes,No Risk
28,0_to_200,4,all_credits_paid_back,car_new,576,100_to_500,unemployed,2,male,none,3,real_estate,19,stores,rent,1,unskilled,1,none,yes,No Risk
29,0_to_200,4,all_credits_paid_back,car_new,624,less_100,less_1,2,male,none,1,real_estate,32,none,own,1,skilled,1,none,yes,No Risk
30,0_to_200,4,all_credits_paid_back,car_new,952,100_to_500,1_to_4,1,male,none,1,real_estate,31,none,own,1,skilled,1,none,yes,No Risk
31,0_to_200,4,all_credits_paid_back,car_new,963,100_to_500,1_to_4,2,female,none,2,savings_insurance,27,none,own,1,skilled,1,none,yes,No Risk
32,0_to_200,4,all_credits_paid_back,car_new,982,less_100,less_1,2,male,none,1,real_estate,20,bank,rent,1,unskilled,1,none,yes,No Risk
33,0_to_200,4,all_credits_paid_back,car_new,1355,less_100,1_to_4,1,female,none,2,real_estate,28,bank,own,1,unskilled,1,none,yes,No Risk
34,0_to_200,4,all_credits_paid_back,car_new,1395,less_100,1_to_4,2,female,none,1,real_estate,27,none,own,1,skilled,1,none,yes,No Risk
35,0_to_200,4,all_credits_paid_back,car_new,1711,less_100,less_1,2,female,none,3,real_estate,38,none,rent,1,management_self-employed,1,none,yes,No Risk
36,0_to_200,4,all_credits_paid_back,car_new,2228,less_100,less_1,2,female,co-applicant,2,savings_insurance,37,none,own,1,skilled,1,none,yes,No Risk
37,0_to_200,4,all_credits_paid_back,car_new,2313,less_100,1_to_4,2,female,none,1,car_other,20,stores,own,1,skilled,1,none,yes,Risk
38,0_to_200,4,all_credits_paid_back,car_new,2813,100_to_500,4_to_7,3,male,none,4,car_other,19,none,own,2,skilled,1,none,yes,No Risk
39,0_to_200,4,all_credits_paid_back,car_new,3490,100_to_500,1_to_4,1,female,co-applicant,3,car_other,26,none,own,1,skilled,1,none,yes,Risk
40,0_to_200,4,all_credits_paid_back,car_new,3840,less_100,less_1,3,female,none,2,real_estate,19,none,own,1,management_self-employed,1,none,yes,No Risk
41,0_to_200,4,all_credits_paid_back,car_used,250,100_to_500,1_to_4,2,female,none,2,savings_insurance,26,none,own,1,skilled,1,none,yes,No Risk
42,0_to_200,4,all_credits_paid_back,car_used,250,100_to_500,unemployed,1,male,none,1,real_estate,19,stores,rent,1,skilled,1,none,yes,No Risk
43,0_to_200,4,all_credits_paid_back,car_used,250,less_100,1_to_4,2,female,none,1,real_estate,50,none,rent,1,skilled,1,yes,yes,No Risk
44,0_to_200,4,all_credits_paid_back,car_used,250,less_100,1_to_4,2,female,none,1,savings_insurance,22,none,rent,1,skilled,1,none,yes,No Risk
45,0_to_200,4,all_credits_paid_back,car_used,250,less_100,1_to_4,2,female,none,2,real_estate,19,none,own,1,skilled,1,none,yes,No Risk
46,0_to_200,4,all_credits_paid_back,car_used,250,less_100,1_to_4,2,male,none,3,real_estate,31,none,own,1,skilled,1,none,yes,No Risk
47,0_to_200,4,all_credits_paid_back,car_used,250,less_100,less_1,1,male,none,2,real_estate,24,stores,rent,1,skilled,1,none,yes,No Risk
48,0_to_200,4,all_credits_paid_back,car_used,250,less_100,unemployed,1,male,none,2,real_estate,21,none,rent,1,skilled,1,none,yes,No Risk
49,0_to_200,4,all_credits_paid_back,car_used,250,less_100,unemployed,2,male,none,1,real_estate,20,none,rent,1,management_self-employed,1,none,yes,No Risk
50,0_to_200,4,all_credits_paid_back,car_used,416,less_100,less_1,1,female,none,1,savings_insurance,19,none,rent,1,skilled,1,none,yes,No Risk
51,0_to_200,4,all_credits_paid_back,car_used,546,less_100,less_1,2,male,none,1,real_estate,26,none,own,1,management_self-employed,1,none,yes,No Risk
52,0_to_200,4,all_credits_paid_back,car_used,941,less_100,less_1,2,male,none,1,savings_insurance,27,none,own,1,skilled,1,none,yes,No Risk
53,0_to_200,4,all_credits_paid_back,car_used,1008,less_100,unemployed,2,female,none,3,real_estate,19,none,rent,1,management_self-employed,1,none,yes,No Risk
54,0_to_200,4,all_credits_paid_back,car_used,1835,less_100,less_1,2,male,none,2,real_estate,28,none,own,1,skilled,1,none,yes,No Risk
55,0_to_200,4,all_credits_paid_back,car_used,2348,100_to_500,less_1,1,male,none,3,real_estate,19,stores,rent,1,unskilled,2,none,yes,No Risk
56,0_to_200,4,all_credits_paid_back,car_used,2643,less_100,unemployed,2,female,none,2,real_estate,20,none,own,1,management_self-employed,1,none,yes,No Risk
57,0_to_200,4,all_credits_paid_back,car_used,3562,less_100,1_to_4,3,female,none,2,savings_insurance,21,none,own,1,skilled,1,none,yes,No Risk
58,0_to_200,4,all_credits_paid_back,education,250,100_to_500,4_to_7,2,female,none,1,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
59,0_to_200,4,all_credits_paid_back,education,250,less_100,1_to_4,2,male,none,2,real_estate,23,none,own,1,skilled,1,none,yes,No Risk
60,0_to_200,4,all_credits_paid_back,education,250,less_100,1_to_4,2,male,none,2,savings_insurance,24,bank,rent,1,unskilled,1,none,yes,No Risk
61,0_to_200,4,all_credits_paid_back,education,250,less_100,less_1,1,male,none,2,real_estate,20,none,rent,1,management_self-employed,1,none,yes,No Risk
62,0_to_200,4,all_credits_paid_back,education,250,less_100,less_1,1,male,none,2,real_estate,22,stores,rent,1,skilled,1,none,yes,No Risk
63,0_to_200,4,all_credits_paid_back,education,250,less_100,less_1,2,male,none,2,real_estate,19,stores,rent,1,unskilled,1,none,yes,No Risk
64,0_to_200,4,all_credits_paid_back,education,790,less_100,1_to_4,3,male,none,1,real_estate,19,bank,rent,1,unskilled,1,none,yes,No Risk
65,0_to_200,4,all_credits_paid_back,education,3861,100_to_500,less_1,3,female,none,2,real_estate,21,none,own,2,management_self-employed,1,none,yes,No Risk
66,0_to_200,4,all_credits_paid_back,furniture,250,less_100,less_1,2,male,none,2,real_estate,22,none,rent,1,management_self-employed,1,none,yes,No Risk
67,0_to_200,4,all_credits_paid_back,radio_tv,250,100_to_500,1_to_4,2,female,none,2,savings_insurance,21,none,own,2,skilled,1,none,yes,No Risk
68,0_to_200,4,all_credits_paid_back,radio_tv,250,less_100,less_1,2,female,none,2,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
69,0_to_200,4,all_credits_paid_back,radio_tv,1061,less_100,less_1,1,female,none,1,savings_insurance,37,none,own,1,skilled,1,none,yes,No Risk
70,0_to_200,4,all_credits_paid_back,radio_tv,1707,less_100,less_1,2,female,none,2,real_estate,19,none,own,1,management_self-employed,1,none,yes,No Risk
71,0_to_200,4,all_credits_paid_back,radio_tv,2561,less_100,unemployed,2,female,none,2,real_estate,29,none,own,1,management_self-employed,1,none,yes,No Risk
72,0_to_200,4,credits_paid_to_date,appliances,552,less_100,less_1,2,female,none,3,real_estate,19,none,rent,1,management_self-employed,1,none,yes,No Risk
73,0_to_200,4,credits_paid_to_date,car_new,250,less_100,1_to_4,2,female,none,3,real_estate,28,none,rent,1,skilled,1,none,yes,No Risk
74,0_to_200,4,credits_paid_to_date,car_new,250,less_100,4_to_7,2,female,none,2,real_estate,39,none,own,1,skilled,1,none,yes,No Risk
75,0_to_200,4,credits_paid_to_date,car_new,250,less_100,4_to_7,3,female,none,3,real_estate,41,none,own,1,skilled,1,yes,yes,No Risk
76,0_to_200,4,credits_paid_to_date,car_new,250,less_100,unemployed,2,female,none,1,real_estate,21,none,rent,1,management_self-employed,1,none,yes,No Risk
77,0_to_200,4,credits_paid_to_date,car_new,951,100_to_500,4_to_7,2,male,none,2,real_estate,26,none,own,1,skilled,2,none,yes,No Risk
78,0_to_200,4,credits_paid_to_date,car_new,1605,less_100,4_to_7,2,male,none,1,real_estate,39,none,own,1,skilled,1,none,yes,No Risk
79,0_to_200,4,credits_paid_to_date,car_new,1652,500_to_1000,1_to_4,3,male,none,3,savings_insurance,28,none,rent,1,skilled,2,none,yes,No Risk
80,0_to_200,4,credits_paid_to_date,car_new,1850,less_100,less_1,2,female,none,1,car_other,19,none,rent,1,skilled,1,none,yes,No Risk
81,0_to_200,4,credits_paid_to_date,car_new,1969,less_100,1_to_4,3,male,none,3,car_other,29,stores,rent,1,unskilled,1,yes,yes,No Risk
82,0_to_200,4,credits_paid_to_date,car_new,2761,less_100,less_1,1,male,none,1,car_other,29,bank,rent,1,unemployed,1,none,yes,No Risk
83,0_to_200,4,credits_paid_to_date,car_new,3104,less_100,less_1,2,male,none,2,real_estate,19,stores,rent,1,unskilled,1,none,yes,No Risk
84,0_to_200,4,credits_paid_to_date,car_new,3542,less_100,unemployed,1,female,none,1,car_other,41,bank,own,2,unemployed,1,yes,yes,No Risk
85,0_to_200,4,credits_paid_to_date,car_used,250,500_to_1000,4_to_7,2,male,none,1,savings_insurance,31,none,own,1,skilled,1,yes,yes,No Risk
86,0_to_200,4,credits_paid_to_date,car_used,250,less_100,less_1,1,female,none,1,savings_insurance,30,none,rent,1,skilled,1,none,yes,No Risk
87,0_to_200,4,credits_paid_to_date,car_used,437,500_to_1000,less_1,2,female,none,3,savings_insurance,27,none,rent,1,skilled,1,none,yes,No Risk
88,0_to_200,4,credits_paid_to_date,car_used,906,100_to_500,1_to_4,2,female,none,2,real_estate,19,none,own,1,skilled,1,none,yes,No Risk
89,0_to_200,4,credits_paid_to_date,car_used,1283,less_100,less_1,2,female,none,2,real_estate,19,stores,rent,1,unskilled,1,none,yes,No Risk
90,0_to_200,4,credits_paid_to_date,car_used,2771,less_100,1_to_4,2,male,none,3,real_estate,23,none,own,2,management_self-employed,2,yes,yes,No Risk
91,0_to_200,4,credits_paid_to_date,car_used,3713,less_100,4_to_7,3,female,none,3,savings_insurance,33,none,free,2,skilled,1,none,yes,Risk
92,0_to_200,4,credits_paid_to_date,education,3511,100_to_500,1_to_4,2,male,none,3,real_estate,24,none,rent,1,skilled,2,none,yes,No Risk
93,0_to_200,4,credits_paid_to_date,furniture,4035,less_100,4_to_7,3,female,none,2,savings_insurance,32,none,free,2,skilled,1,yes,yes,No Risk
94,0_to_200,4,credits_paid_to_date,radio_tv,4539,100_to_500,1_to_4,3,female,none,3,savings_insurance,37,none,own,1,management_self-employed,1,none,no,No Risk
95,0_to_200,4,credits_paid_to_date,vacation,2685,less_100,4_to_7,2,female,co-applicant,3,car_other,42,none,own,1,skilled,1,none,yes,No Risk
96,0_to_200,4,no_credits,appliances,250,less_100,unemployed,1,female,co-applicant,2,real_estate,30,bank,rent,1,unemployed,1,none,yes,No Risk
97,0_to_200,4,no_credits,car_new,250,less_100,1_to_4,1,female,none,2,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
98,0_to_200,4,no_credits,car_new,250,less_100,less_1,2,male,none,2,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
